Allergology consult,Allergology,250,30
Allergology control,Allergology,150,30
Allergology analyses interpretation,Allergology,250,60
Prick/allergen allergy test,Allergology,50,90
Propofol anesthesia,Anesthesia and intensive care,350,120
Pre-anesthetic consult,Anesthesia and intensive care,225,30
Lumbar puncture,Anesthesia and intensive care,1000,90
Tracheostomy,Anesthesia and intensive care,4500,90
Infectious diseases consult,Infectious diseases,250,30
Emergency infectious diseases consult,Infectious diseases,300,60
Infectious diseases control,Infectious diseases,150,30
Infectious diseases analyses interpretation,Infectious diseases,250,60
Cardiology consult,Cardiology,250,30
Cardiology control,Cardiology,150,30
EKG,Cardiology,100,30
Exercise test,Cardiology,350,90
Surgery consult,Surgery,250,30
Surgery control,Surgery,150,30
Drainage,Surgery,1250,90
Puncture,Surgery,500,90
Dermatology consult,Dermatology,250,30
Dermatology control,Dermatology,150,30
Liquid nitrogen cryotherapy,Dermatology,700,30
Dermoscopy,Dermatology,175,30
Diabetes consult,Diabetes,250,30
Diabetes control,Diabetes,150,30
Diabetes analyses interpretation,Diabetes,100,60
Nutritional therapy,Diabetes,200,60
Epidemiology consult,Epidemiology,250,30
Epidemiology control,Epidemiology,150,30
Epidemiology analyses interpretation,Epidemiology,100,60
